stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
121,121,"E Madison St & 23rd Ave E","",47.6193161,-122.302483,1,,0,,America/Los_Angeles,1
12110,12110,"31st Ave S & S Massachusetts St","",47.5878716,-122.292648,1,,0,,America/Los_Angeles,1
12130,12130,"31st Ave S & S Plum St","",47.5849571,-122.293098,1,,0,,America/Los_Angeles,1
12140,12140,"31st Ave S & S Walker St","",47.5834236,-122.293106,1,,0,,America/Los_Angeles,1
1215,1215,"Union St & 5th Ave","",47.6098289,-122.334511,21,,0,,America/Los_Angeles,1
12160,12160,"31st Ave S & S Lander St","",47.579422,-122.293098,1,,0,,America/Los_Angeles,1
12170,12170,"S Mcclellan St & 31st Ave S","",47.5782776,-122.292496,1,,0,,America/Los_Angeles,1
12190,12190,"S Mcclellan St & S Mount Baker Blvd","",47.5782738,-122.288712,1,,0,,America/Los_Angeles,1
122,122,"E Madison St & 22nd Ave E","",47.6179543,-122.304665,1,,0,,America/Los_Angeles,1
12200,12200,"Mount Rainier Dr S & 37th Pl S","",47.5767555,-122.286827,1,,0,,America/Los_Angeles,1
12210,12210,"E Mcgilvra St & 42nd Ave E","",47.6407738,-122.278122,1,,0,,America/Los_Angeles,1
12220,12220,"42nd Ave E & E Lynn St","",47.6388626,-122.278534,1,,0,,America/Los_Angeles,1
12230,12230,"42nd Ave E & E Newton St","",47.6367264,-122.278564,1,,0,,America/Los_Angeles,1
12240,12240,"42nd Ave E & E Madison St","",47.6356049,-122.278572,1,,0,,America/Los_Angeles,1
12250,12250,"E Madison St & 41st Ave E","",47.6347008,-122.279778,1,,0,,America/Los_Angeles,1
12260,12260,"E Madison St & E Garfield St","",47.6335716,-122.281433,1,,0,,America/Los_Angeles,1
12270,12270,"E Madison St & 38th Ave E","",47.6319466,-122.283836,1,,0,,America/Los_Angeles,1
12280,12280,"E Madison St & 36th Ave E","",47.6302643,-122.286324,1,,0,,America/Los_Angeles,1
12290,12290,"E Madison St & 34th Ave E","",47.6289024,-122.288345,1,,0,,America/Los_Angeles,1
123,123,"E Madison St & 17th Ave","",47.6155205,-122.310516,1,,0,,America/Los_Angeles,1
1230,1230,"Union St & 4th Ave","",47.6090813,-122.336288,21,,0,,America/Los_Angeles,1
12310,12310,"E Madison St & Lake Washington Blvd","",47.6259193,-122.292725,1,,0,,America/Los_Angeles,1
12340,12340,"E Madison St & 25th Ave E","",47.6208687,-122.300186,1,,0,,America/Los_Angeles,1
12353,12353,"E Madison St & 19th Ave","",47.6165466,-122.308052,1,,0,,America/Los_Angeles,1
12373,12373,"E Madison St & 18th Ave","",47.61623,-122.308426,1,,0,,America/Los_Angeles,1
12390,12390,"E Madison St & 29th Ave E","",47.6240654,-122.295189,1,,0,,America/Los_Angeles,1
